                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.59315,                0.38125,                0.99299,                0.98196,                0.98663,                0.99292,                0.90075,                 0.4918,                 0.2379,                0.92307,               0.006766,               0.006766,               0.006766
                     51,                0.60465,                0.38403,                0.99619,                0.98381,                0.98092,                0.99276,                0.89915,                0.49651,                0.23462,                 0.9213,                 0.0067,                 0.0067,                 0.0067
                     52,                0.60724,                0.38668,                 0.9977,                0.98972,                0.98478,                0.99382,                0.90108,                0.48654,                0.23218,                0.91759,               0.006634,               0.006634,               0.006634
                     53,                0.60471,                0.37984,                0.99979,                0.99004,                0.97909,                0.99292,                 0.9019,                0.49294,                0.23261,                0.91365,               0.006568,               0.006568,               0.006568
                     54,                0.59458,                0.37076,                0.99349,                0.97875,                0.99238,                0.99316,                0.90523,                0.48726,                0.22833,                0.91829,               0.006502,               0.006502,               0.006502
                     55,                0.59851,                0.37886,                0.99808,                0.97497,                0.98745,                0.99248,                0.89794,                0.48981,                0.23099,                0.91782,               0.006436,               0.006436,               0.006436
                     56,                0.58984,                0.36166,                0.99044,                0.98721,                 0.9846,                0.99284,                0.90169,                0.48399,                0.22776,                0.91198,                0.00637,                0.00637,                0.00637
                     57,                0.59003,                0.37276,                0.98468,                  0.983,                0.98315,                 0.9924,                0.90207,                0.49094,                0.23323,                0.91483,               0.006304,               0.006304,               0.006304
                     58,                0.59522,                0.37358,                0.99246,                0.98656,                0.98525,                0.99314,                0.90582,                0.48335,                0.23183,                 0.9129,               0.006238,               0.006238,               0.006238
                     59,                0.59051,                0.36977,                0.98911,                0.97971,                0.98217,                0.99125,                0.90147,                0.48102,                0.22938,                0.90565,               0.006172,               0.006172,               0.006172
                     60,                 0.5859,                0.36385,                0.99031,                0.98628,                0.98566,                0.99305,                 0.9026,                0.48608,                0.22631,                0.91079,               0.006106,               0.006106,               0.006106
                     61,                0.59121,                0.36827,                0.98843,                0.98345,                 0.9899,                0.99361,                0.90478,                0.48307,                0.22609,                0.90841,                0.00604,                0.00604,                0.00604
                     62,                0.58636,                0.36207,                0.98677,                0.99273,                0.98212,                0.99356,                0.90498,                0.48317,                0.22805,                0.90961,               0.005974,               0.005974,               0.005974
                     63,                0.57846,                0.35829,                0.98333,                0.99043,                 0.9882,                0.99393,                0.90012,                0.48117,                 0.2233,                0.90898,               0.005908,               0.005908,               0.005908
                     64,                0.58016,                0.35784,                0.98423,                0.98782,                 0.9879,                0.99447,                 0.9036,                0.48539,                0.22191,                 0.9128,               0.005842,               0.005842,               0.005842
                     65,                0.58392,                0.36396,                0.98684,                0.98776,                0.98723,                0.99332,                 0.9035,                0.47793,                0.22252,                0.90652,               0.005776,               0.005776,               0.005776
                     66,                0.57192,                 0.3544,                0.98241,                 0.9906,                0.98451,                0.99307,                0.90332,                0.48376,                0.22865,                0.91032,                0.00571,                0.00571,                0.00571
                     67,                0.57421,                0.34768,                0.98242,                0.98506,                0.98644,                0.99344,                0.90421,                 0.4829,                0.22197,                 0.9085,               0.005644,               0.005644,               0.005644
                     68,                0.57399,                0.35473,                0.98017,                0.99159,                0.98176,                0.99331,                0.90332,                0.48088,                0.22719,                0.91005,               0.005578,               0.005578,               0.005578
                     69,                0.57749,                0.35291,                0.98523,                0.98907,                0.98395,                0.99338,                0.90368,                0.48367,                0.21958,                0.91314,               0.005512,               0.005512,               0.005512
                     70,                0.57305,                0.35303,                0.98268,                0.98883,                0.98697,                0.99237,                0.90403,                0.48227,                0.21688,                0.90556,               0.005446,               0.005446,               0.005446
                     71,                 0.5687,                0.35604,                 0.9809,                0.98321,                0.99052,                0.99215,                  0.904,                0.48041,                0.22035,                0.90611,                0.00538,                0.00538,                0.00538
                     72,                0.56315,                0.34437,                0.97838,                0.98251,                0.98667,                0.99186,                  0.907,                0.47904,                0.21299,                0.90521,               0.005314,               0.005314,               0.005314
                     73,                 0.5666,                 0.3501,                0.98129,                0.98306,                0.99004,                0.99305,                0.90546,                0.47555,                 0.2185,                0.90673,               0.005248,               0.005248,               0.005248
                     74,                0.56517,                0.34295,                0.98349,                  0.984,                0.98581,                0.99404,                0.90709,                0.47171,                0.21743,                0.90407,               0.005182,               0.005182,               0.005182
                     75,                0.56301,                0.33951,                0.97663,                0.98564,                0.99075,                0.99392,                0.90964,                0.46934,                 0.2094,                0.90344,               0.005116,               0.005116,               0.005116
                     76,                0.55301,                0.33396,                0.97345,                0.98994,                 0.9908,                0.99353,                 0.9063,                 0.4757,                 0.2135,                0.90649,                0.00505,                0.00505,                0.00505
                     77,                0.56153,                0.33414,                0.97063,                0.97985,                0.98518,                0.99342,                0.90419,                0.47858,                0.21067,                0.91024,               0.004984,               0.004984,               0.004984
