epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4733.01,0.51153,0.29521,0.95671,0.99168,0.9877,0.99402,0.91493,0.45818,0.19878,0.90154,0.004324,0.004324,0.004324
88,4787.18,0.51346,0.30474,0.95927,0.99297,0.98845,0.99371,0.91386,0.46186,0.19532,0.90406,0.004258,0.004258,0.004258
89,4841.55,0.50205,0.29547,0.95341,0.99124,0.9872,0.99327,0.91396,0.4565,0.19825,0.9033,0.004192,0.004192,0.004192
90,4895.74,0.50479,0.29533,0.95494,0.99007,0.98292,0.99217,0.9104,0.46016,0.20672,0.903,0.004126,0.004126,0.004126
91,4950.34,0.50689,0.29403,0.95417,0.98814,0.98503,0.99355,0.91258,0.46511,0.20439,0.90655,0.00406,0.00406,0.00406
92,5004.52,0.50323,0.29392,0.95585,0.9875,0.98821,0.9927,0.91119,0.46498,0.20271,0.90707,0.003994,0.003994,0.003994
93,5058.57,0.502,0.28923,0.95376,0.98931,0.98465,0.99347,0.9134,0.46261,0.20069,0.90321,0.003928,0.003928,0.003928
94,5112.53,0.49335,0.28531,0.95002,0.99245,0.98832,0.99285,0.91113,0.46208,0.19869,0.9043,0.003862,0.003862,0.003862
95,5166.68,0.4926,0.28913,0.94961,0.99028,0.98556,0.99375,0.91196,0.46181,0.201,0.903,0.003796,0.003796,0.003796
96,5220.6,0.48894,0.28402,0.94577,0.97883,0.99544,0.99344,0.91349,0.45885,0.20096,0.9035,0.00373,0.00373,0.00373
97,5274.6,0.49287,0.28117,0.95345,0.99344,0.98209,0.9934,0.91401,0.45848,0.20322,0.90232,0.003664,0.003664,0.003664
98,5328.98,0.4903,0.28105,0.95016,0.989,0.99025,0.99291,0.91468,0.45638,0.19507,0.90172,0.003598,0.003598,0.003598
99,5383.18,0.48851,0.27807,0.9467,0.9916,0.98902,0.99376,0.91338,0.45972,0.19506,0.906,0.003532,0.003532,0.003532
100,5437.32,0.48691,0.28145,0.94786,0.98623,0.99196,0.99374,0.91167,0.46521,0.2029,0.90805,0.003466,0.003466,0.003466
101,5491.6,0.4827,0.28311,0.94932,0.99266,0.98193,0.99398,0.91498,0.46003,0.19867,0.90628,0.0034,0.0034,0.0034
102,5545.72,0.4809,0.27463,0.94783,0.99019,0.98653,0.99337,0.91055,0.46694,0.199,0.91082,0.003334,0.003334,0.003334
103,5599.91,0.48614,0.27719,0.94919,0.99346,0.98397,0.99223,0.91144,0.46356,0.20411,0.90812,0.003268,0.003268,0.003268
