epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3468.89,0.51389,0.29292,0.96234,0.96555,0.98056,0.98905,0.91331,0.46299,0.21799,0.90001,0.000480396,0.000480396,0.000480396
88,3508.31,0.5175,0.29714,0.96387,0.9745,0.97832,0.98885,0.91389,0.46413,0.21806,0.89492,0.000473064,0.000473064,0.000473064
89,3547.92,0.51593,0.29173,0.95962,0.97418,0.98063,0.98962,0.91652,0.46155,0.22283,0.89449,0.000465731,0.000465731,0.000465731
90,3587.38,0.50953,0.29747,0.96007,0.97616,0.97995,0.98789,0.91569,0.4597,0.21758,0.89523,0.000458399,0.000458399,0.000458399
91,3626.53,0.50531,0.29297,0.95343,0.97465,0.98229,0.98918,0.91396,0.4615,0.21415,0.89618,0.000451066,0.000451066,0.000451066
92,3665.85,0.50371,0.28803,0.95546,0.97833,0.97862,0.98897,0.91451,0.4696,0.21401,0.90193,0.000443733,0.000443733,0.000443733
93,3705.2,0.50852,0.29273,0.95608,0.97618,0.97899,0.98756,0.91238,0.4634,0.21649,0.89608,0.000436401,0.000436401,0.000436401
94,3744.38,0.5083,0.28935,0.95816,0.97627,0.97714,0.98753,0.91291,0.46736,0.21733,0.8991,0.000429068,0.000429068,0.000429068
95,3784.27,0.51447,0.29142,0.95957,0.97584,0.97875,0.98902,0.91556,0.46124,0.21551,0.89445,0.000421736,0.000421736,0.000421736
96,3823.46,0.50383,0.28684,0.95445,0.9744,0.98035,0.98903,0.91433,0.45938,0.21471,0.89617,0.000414403,0.000414403,0.000414403
97,3862.92,0.5064,0.29177,0.95699,0.97519,0.97924,0.98983,0.91445,0.46438,0.21584,0.89635,0.00040707,0.00040707,0.00040707
98,3903.36,0.49397,0.28587,0.95316,0.96385,0.98223,0.98907,0.91121,0.46121,0.21724,0.89374,0.000399738,0.000399738,0.000399738
99,3942.7,0.49564,0.28098,0.95137,0.97233,0.97486,0.98872,0.91317,0.46113,0.2169,0.89507,0.000392405,0.000392405,0.000392405
100,3981.84,0.4916,0.28168,0.95162,0.96993,0.97684,0.98889,0.91168,0.46246,0.21643,0.89451,0.000385073,0.000385073,0.000385073
101,39.8451,0.48514,0.27145,0.94556,0.97812,0.98111,0.98842,0.91604,0.45932,0.21085,0.89538,0.00037774,0.00037774,0.00037774
102,80.1553,0.49131,0.27559,0.95289,0.97953,0.97662,0.98844,0.91347,0.4609,0.21094,0.8958,0.000370407,0.000370407,0.000370407
103,120.019,0.48286,0.27768,0.94585,0.98382,0.97969,0.98985,0.9133,0.46067,0.21046,0.89512,0.000363075,0.000363075,0.000363075
104,160.385,0.4898,0.27474,0.9541,0.97979,0.97754,0.98946,0.91533,0.46215,0.21237,0.89594,0.000355742,0.000355742,0.000355742
105,200.251,0.47944,0.2769,0.94707,0.97842,0.9797,0.98881,0.91305,0.46204,0.21177,0.89513,0.00034841,0.00034841,0.00034841
106,239.765,0.4895,0.27369,0.95556,0.97386,0.98116,0.98838,0.91199,0.45869,0.21318,0.8926,0.000341077,0.000341077,0.000341077
107,280.103,0.48612,0.27492,0.94502,0.96728,0.9793,0.98856,0.91317,0.45819,0.21273,0.8923,0.000333744,0.000333744,0.000333744
108,320.159,0.48057,0.2715,0.94623,0.97054,0.97747,0.98873,0.91196,0.45881,0.21146,0.89374,0.000326412,0.000326412,0.000326412
109,359.968,0.47834,0.27185,0.948,0.97633,0.97472,0.98921,0.91309,0.45684,0.21372,0.89172,0.000319079,0.000319079,0.000319079
110,399.767,0.4766,0.27213,0.94398,0.98222,0.97407,0.98931,0.91268,0.4597,0.21207,0.89224,0.000311747,0.000311747,0.000311747
111,440.065,0.47902,0.27349,0.94662,0.97885,0.97583,0.99,0.91413,0.45921,0.21142,0.89846,0.000304414,0.000304414,0.000304414
112,479.436,0.47265,0.26956,0.94765,0.98422,0.97593,0.98984,0.9136,0.46331,0.21113,0.89904,0.000297081,0.000297081,0.000297081
113,519.507,0.47401,0.26561,0.94157,0.97224,0.97686,0.9913,0.91607,0.46027,0.21244,0.89761,0.000289749,0.000289749,0.000289749
114,559.604,0.47442,0.27145,0.94052,0.96248,0.97526,0.98988,0.9152,0.4587,0.2183,0.89539,0.000282416,0.000282416,0.000282416
115,598.909,0.47366,0.26935,0.94226,0.98273,0.9761,0.99072,0.9183,0.4567,0.21388,0.8935,0.000275084,0.000275084,0.000275084
116,639.273,0.47232,0.26797,0.94357,0.97804,0.97919,0.98929,0.91558,0.4582,0.21273,0.89587,0.000267751,0.000267751,0.000267751
117,679.402,0.46832,0.26785,0.93903,0.97838,0.98017,0.98872,0.91291,0.46119,0.21291,0.8985,0.000260418,0.000260418,0.000260418
118,718.8,0.46764,0.264,0.94335,0.97752,0.98028,0.98922,0.91426,0.46437,0.21161,0.9009,0.000253086,0.000253086,0.000253086
119,759.251,0.46602,0.25925,0.94421,0.98325,0.97628,0.98864,0.91394,0.46413,0.21537,0.89929,0.000245753,0.000245753,0.000245753
120,799.241,0.45816,0.25728,0.93642,0.97571,0.97772,0.98958,0.91203,0.46259,0.21277,0.89934,0.000238421,0.000238421,0.000238421
121,838.392,0.45477,0.25791,0.938,0.97509,0.97656,0.98992,0.91365,0.45962,0.2081,0.8947,0.000231088,0.000231088,0.000231088
122,878.65,0.45959,0.25739,0.93512,0.98235,0.97548,0.9894,0.91526,0.46001,0.20919,0.89635,0.000223755,0.000223755,0.000223755
123,918.767,0.44844,0.25087,0.93296,0.98055,0.97649,0.98938,0.91124,0.45908,0.20713,0.89791,0.000216423,0.000216423,0.000216423
124,958.487,0.45241,0.24977,0.93733,0.98185,0.97644,0.98883,0.91244,0.45826,0.20588,0.89745,0.00020909,0.00020909,0.00020909
125,998.465,0.45487,0.25344,0.93816,0.97914,0.9771,0.98819,0.9117,0.45699,0.20701,0.89668,0.000201758,0.000201758,0.000201758
126,1038.35,0.45729,0.25418,0.93479,0.98067,0.9764,0.9866,0.91234,0.45585,0.20872,0.89586,0.000194425,0.000194425,0.000194425
127,1078.14,0.45181,0.24565,0.92867,0.97885,0.97661,0.9872,0.91187,0.45612,0.2057,0.90023,0.000187092,0.000187092,0.000187092
128,1118.25,0.45233,0.25248,0.93451,0.97296,0.97581,0.98785,0.91257,0.46019,0.20873,0.90233,0.00017976,0.00017976,0.00017976
129,1158.24,0.44025,0.24794,0.92855,0.97123,0.976,0.98812,0.91469,0.45708,0.20777,0.8995,0.000172427,0.000172427,0.000172427
